country_code,prev_2010
AFG,0.000994366
ALB,0.00014127
DZA,0.000607884
AND,8.97E-05
AGO,0.002557011
ATG,8.05E-05
ARG,0.000192252
ARM,0.000600742
AUS,5.72E-05
AUT,8.22E-05
AZE,0.000922925
BHS,8.89E-05
BHR,0.000196486
BGD,0.00105098
BRB,2.14E-05
BLR,0.000585186
BEL,9.93E-05
BLZ,0.000469256
BEN,0.000403891
BTN,0.001857741
BOL,0.000848676
BIH,0.000361414
BWA,0.003876079
BRA,0.000420236
BRN,0.000591022
BGR,0.000358506
BFA,0.000330438
BDI,0.000836023
CPV,0.000747951
KHM,0.002897877
CMR,0.001190458
CAN,4.06E-05
CAF,0.001554023
TCD,0.000827318
CHL,0.000144132
CHN,0.000673947
COL,0.00025598
COG,0.002509971
COK,0
CRI,0.000106852
HRV,0.000160212
CUB,7.43E-05
CYP,5.53E-05
CZE,6.33E-05
CIV,0.001223059
PRK,0.00393037
COD,0.001907607
DNK,6.59E-05
DJI,0.00502518
DMA,0.000112676
DOM,0.000415294
ECU,0.000339644
EGY,0.000122803
SLV,0.000278225
GNQ,0.001225575
ERI,0.000520989
EST,0.000256351
ETH,0.001801803
FJI,0.000221835
FIN,5.96E-05
FRA,8.09E-05
GAB,0.002686375
GMB,0.001207615
GEO,0.001320574
DEU,5.21E-05
GHA,0.000624201
GRC,4.38E-05
GRD,3.81E-05
GTM,0.000233649
GNB,0.00142344
GIN,0.001041192
GUY,0.001063613
HTI,0.001441492
HND,0.000380659
HUN,0.000173839
ISL,6.92E-05
IND,0.001257973
IDN,0.001256685
IRN,0.000145067
IRQ,0.000326109
IRL,9.40E-05
ISR,4.62E-05
ITA,7.75E-05
JAM,5.36E-05
JPN,0.000183157
JOR,5.48E-05
KAZ,0.001793229
KEN,0.002593146
KIR,0.003
KWT,0.000319853
KGZ,0.001180165
LAO,0.000638368
LVA,0.000447154
LBN,0.000118636
LSO,0.006539572
LBR,0.001684689
LTU,0.000631682
LUX,5.71E-05
MDG,0.001190987
MWI,0.001500999
MYS,0.000683866
MDV,0.000297546
MLI,0.000389532
MLT,7.53E-05
MHL,0.003865385
MRT,0.000689665
MUS,9.99E-05
MEX,0.000175415
FSM,0.001673077
MCO,2.70E-05
MNG,0.001769628
MNE,0.000183871
MAR,0.000909803
MOZ,0.001926566
MMR,0.002645876
NAM,0.005793942
NRU,0.0003
NPL,0.001326417
NLD,6.43E-05
NZL,6.98E-05
NIC,0.000442288
NER,0.000650875
NGA,0.000565294
NIU,0
NOR,6.87E-05
OMN,0.000111666
PAK,0.00155659
PLW,0.00095
PAN,0.000454323
PNG,0.002349176
PRY,0.00038096
PER,0.001109832
PHL,0.001866241
POL,0.000196576
PRT,0.000257507
QAT,0.000331429
KOR,0.000992715
MDA,0.001524489
ROU,0.000963314
RUS,0.00112884
RWA,0.000651933
KNA,3.85E-05
LCA,5.08E-05
VCT,0.000155963
WSM,7.53E-05
STP,0.000685393
SAU,0.000166887
SEN,0.000894989
SRB,0.000247227
SYC,0.000186813
SLE,0.002293985
SGP,0.000316598
SVK,8.08E-05
SVN,8.37E-05
SLB,0.000648289
SOM,0.001086447
ZAF,0.007707261
ESP,0.000156749
LKA,0.000486295
SDN,0.000764081
SUR,0.000388571
SWZ,0.009342833
SWE,7.11E-05
CHE,7.00E-05
SYR,0.000177727
TJK,0.001001836
THA,0.001027665
MKD,0.00019981
TGO,0.000459404
TON,0.000105769
TTO,0.000194277
TUN,0.000222724
TUR,0.000229435
TKM,0.000640619
TUV,0.0014
UGA,0.001340101
UKR,0.000790641
ARE,1.56E-05
GBR,0.000135291
TZA,0.001410913
USA,3.58E-05
URY,0.000207295
UZB,0.000732111
VUT,0.000491525
VEN,0.000228799
VNM,0.001112019
YEM,0.000397575
ZMB,0.003678293
ZWE,0.00363669
